id_empresa,status,nome_fantasia,grupo,cidade,estado,pais,latitude,longitude,coordenadas_validas,materias_primas,produtos,associada,data_ultima_atualizacao
55862,A,Destilla Bioenergia Agroindustrial,,Itauba,MT,Brasil,-11.105509,-55.301487,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693785600000
55868,A,Canex Bioenergia,,São Vicente do Sul,RS,Brasil,-29.650354,-54.543356,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693353600000
55869,A,Ceará-Mirim Agroindústria,Agropaulo,Ceará-Mirim,RN,Brasil,-5.626163,-35.468063,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693353600000
55873,I,"Usina Porto Seguro de Açúcar,Etanol e Bioenergia",,Jaciara,MT,Brasil,-15.924629,-55.226882,1,Cana-de-Açúcar | Milho,Etanol,N,1693267200000
55874,A,Raízen Unidade Santa Candida,Raízen,Bocaina,SP,Brasil,-22.105013,-48.481124,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000
55876,A,Usina Central Mata Sul,,Ribeirão,PE,Brasil,-8.513496,-35.374752,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000
56060,A,Inpasa Agroindustrial,,Sinop,MT,Brasil,-12.020343,-55.514879,1,Milho,Etanol,N,1693440000000
56068,A,Impacto Bioenergia Alagoas,,Teotônio Vilela,AL,Brasil,-9.915115,-36.333111,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000
56080,A,Inpasa Agroindustrial,,Nova Mutum,MT,Brasil,-13.780498,-56.060105,1,Milho,Etanol,N,1693440000000
56082,A,Docican,,Terra Boa,PR,Brasil,-23.800417,-52.452226,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693353600000
56097,A,ALD Bioenergia,,Nova Marilândia,MT,Brasil,-14.173897,-57.407064,1,Milho,Etanol,N,1693353600000
56098,A,Bioflex - Unidade de Poconé,,Poconé,MT,Brasil,-16.247781,-56.655586,1,Cana-de-Açúcar | Milho,Açúcar | Etanol,N,1693353600000
56099,A,Caramuru Alimentos,,Sorriso,MT,Brasil,-12.576501,-55.717427,1,Soja,Biodiesel | Etanol,N,1693353600000
56100,A,Cluster de Bioenergia,,Barra do Garças,MT,Brasil,-15.88775,-52.261452,1,Milho,Etanol,N,1693785600000
56102,A,Lida Nitro,,Alta Floresta,MT,Brasil,-9.902855,-56.078908,1,Cana-de-Açúcar,Etanol,N,1693785600000
56103,A,FS Fueling Sustainability,Amerra,Sorriso,MT,Brasil,-12.412913,-55.651597,1,Milho,Etanol,N,1708387200000
56191,A,Millenium Bioenergia Bomfim,Millenium Holding,Bonfim,RR,Brasil,3.363195,-59.850325,1,Milho,Etanol,N,1711929600000
56231,A,Vale do Xingu,Companhia Müller de Bebidas,Porto Ferreira,SP,Brasil,-21.91723134438568,-47.50711166138285,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693785600000
56255,A,FRCB Biocombustível,,Várzea Grande,MT,Brasil,-15.594129,-56.227889,1,Soja,Biodiesel,N,1693353600000
56258,I,Millenium Bioenergy - Tabaporã,Millenium Holding,Tabaporã,MT,Brasil,-11.297605,-56.448236,1,Milho,Etanol,N,1721606400000
56264,I,FS Fueling Sustainability - Querência,Amerra,Querência,MT,Brasil,,,0,Milho,Etanol,N,1782345600000
56265,A,FS Fueling Sustainability - Primavera do Leste,Amerra,Primavera do Leste,MT,Brasil,-15.356258857126077,-54.207611142327686,1,Milho,Etanol,N,1782345600000
56266,A,FS Fueling Sustainability - Nova Mutum,Amerra,Nova Mutum,MT,Brasil,-13.805963971470618,-55.97445671789256,1,Milho,Etanol,N,1782345600000
56267,A,FS Fueling Sustainability - Campo Novo do Parecís,Amerra,Campo Novo do Parecís,MT,Brasil,-13.560538589374415,-57.896905775570545,1,Milho,Etanol,N,1782345600000
56269,A,JBS - Biodiesel,JBS,Campo Verde,MT,Brasil,-15.556914,-55.170532,1,Gordura Animal,Biodiesel,N,1693440000000
56270,I,Usina Parecis,,Campo Novo do Parecís,MT,Brasil,-13.550063,-57.674722,1,Cana-de-Açúcar,Açúcar | Etanol,N,1692835200000
56298,A,Usina Ipanema,,Barbosa,SP,Brasil,-21.296319,-49.99998,1,Cana-de-Açúcar,Etanol,S,1734048000000
56344,A,Cj Selecta - Unidade Araguari,,Araguari,MG,Brasil,-18.68082066468179,-48.15575654845225,1,Soja,Etanol,N,1782345600000
56399,A,GNR Fortaleza,,Caucaia,CE,Brasil,-3.794566,-38.679868,1,Cana-de-Açúcar,Vinhaça,N,1724630400000
56404,I,Montepinho,,Santa Cruz do Rio Pardo,SP,Brasil,-22.889093,-49.6433,1,Cana-de-Açúcar,Etanol,N,1721606400000
56430,A,Amaraji,,Amaraji,PE,Brasil,-8.377046,-35.45049,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693785600000
56467,A,Albioma Esplanada,Jalles Machado,Goianésia,GO,Brasil,-15.08187,-49.30662,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693353600000
56470,A,UTE Vale do Paraná Albioma,Manuelita,Suzanápolis,SP,Brasil,-20.462,-51.0697,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000
56509,A,Ingenio San Isidro,,Campo Santo,Salta,Argentina,-24.68638,-65.096339,1,Cana-de-Açúcar,Açúcar | Etanol | Mel,N,1688342400000
56552,A,AgrOlmos,,Lambayeque,LA,Peru,-6.086501,-80.060799,1,Cana-de-Açúcar,Açúcar | Mel,N,1680652800000
56559,A,Seaboard Energías Renovables y Alimentos,,El Tabacal,Salta,Argentina,-23.25274,-64.241543,1,Cana-de-Açúcar,Açúcar | Etanol,S,1734048000000
56709,A,Neomille,Cerradinho Bio,Maracajú,MS,Brasil,-18.467529,-52.602488,1,Milho,Etanol | Farelo | Óleo,N,1704412800000
56711,A,Nova Castilho Agroindustrial,,Nova Castilho,SP,Brasil,-20.762857,-50.344472,1,Cana-de-Açúcar,Aguardente/Cachaça,N,1747267200000
56744,A,Inpasa Agroindustrial,,Dourados,MS,Brasil,-22.370964,-54.79738,1,Milho,Etanol,N,1693785600000
56906,A,Tereos Amido e Adoçantes - Palmital,,Palmital,SP,Brasil,-22.73838993152302,-50.20782013068928,1,,,N,1734048000000
56926,A,Ingenio Famailla - Arca Continental,,San Miguel de Tucumán,Tucumán,Argentina,-33.1725,-63.2834,1,Cana-de-Açúcar,Açúcar,N,1711929600000
56928,I,Ingenio Azucarero Arno,,Villa Ocampo,Santa Fé,Argentina,-28.489435123192184,-59.3596363,1,Cana-de-Açúcar,Açúcar,N,1721606400000
56930,A,Promaíz,,Alejandro Roca,Córdoba,Argentina,-33.3256,-66.3634,1,Milho,Etanol,N,1711929600000
56931,A,Bioetanol Río Cuarto,,Río Cuarto,Córdoba,Argentina,-29.1176,-59.6573,1,Milho,Etanol,N,1711929600000
56932,A,Diaser,,San Luís,Córdoba,Argentina,-33.29485969832789,-66.36926365378181,1,Milho,Biodiesel,N,1711929600000
56934,A,Vicentin SAIC,,Avellaneda,Santa Fé,Argentina,-33.117,-64.3449,1,Milho,Biodiesel,N,1711929600000
56964,A,Moinho La Gloria,Grupo Azucarero Del Trópico,Ursulo Galván,Veracruz,México,19.427477471344766,-96.40309894603712,1,Cana-de-Açúcar,Açúcar | Etanol | Mel,N,1680134400000
56966,A,Cía. Azucarera la Fe (Pujiltic),Zucarmex,Huixtla,Chiapas,México,16.27710937674259,-92.45370237562307,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56967,A,Ingenio de Huixtla,Grupo Porres,Huixtla,Chiapas,México,15.089597173125696,-92.49558986028858,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56969,A,Ingenio El Higo,Zucarmex,Veracruz,Veracruz,México,21.773494073472104,-98.45558447370118,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56970,A,Industrial Azucarera San Cristóbal,Zucarmex,Carlos A. Carrillo,Veracruz,México,18.371719233520654,-95.74096196025472,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56971,A,Ingenio Mahuixtlán,Zucarmex,Coatepec,Veracruz,México,19.409060439863218,-96.91745924489646,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56972,A,Industrial Azucarera Atencingo,Zucarmex,Atencingo,Puebla,México,18.509068621659498,-98.60889233141665,1,Cana-de-Açúcar,Açúcar,N,1721692800000
