safra,quinzena,data_ref,regiao,mat_prima,moagem_t
2025/2026,2ª Out,2025-10-16,Centro-Sul,Combinado (CA+ML),31193543
2025/2026,2ª Out,2025-10-16,Demais Estados,Combinado (CA+ML),13449305
2025/2026,2ª Out,2025-10-16,São Paulo,Combinado (CA+ML),17744238
2025/2026,2ª Set,2025-09-16,Centro-Sul,Combinado (CA+ML),40983361
2025/2026,2ª Set,2025-09-16,Demais Estados,Combinado (CA+ML),17623960
2025/2026,2ª Set,2025-09-16,São Paulo,Combinado (CA+ML),23359401
2026/2027,1ª Abr,2026-04-01,Centro-Sul,Combinado (CA+ML),20403906
2026/2027,1ª Abr,2026-04-01,Demais Estados,Combinado (CA+ML),9396660
2026/2027,1ª Abr,2026-04-01,São Paulo,Combinado (CA+ML),11007246
2026/2027,1ª Jun,2026-06-01,Centro-Sul,Combinado (CA+ML),38755552
2026/2027,1ª Jun,2026-06-01,Demais Estados,Combinado (CA+ML),17507060
2026/2027,1ª Jun,2026-06-01,São Paulo,Combinado (CA+ML),21248492
2026/2027,1ª Mai,2026-05-01,Centro-Sul,Combinado (CA+ML),42750152
2026/2027,1ª Mai,2026-05-01,Demais Estados,Combinado (CA+ML),17822186
2026/2027,1ª Mai,2026-05-01,São Paulo,Combinado (CA+ML),24927966
2026/2027,2ª Abr,2026-04-16,Centro-Sul,Combinado (CA+ML),40008693
2026/2027,2ª Abr,2026-04-16,Demais Estados,Combinado (CA+ML),16802818
2026/2027,2ª Abr,2026-04-16,São Paulo,Combinado (CA+ML),23205875
2026/2027,2ª Jun,2026-06-16,Centro-Sul,Combinado (CA+ML),31035150
2026/2027,2ª Jun,2026-06-16,Demais Estados,Combinado (CA+ML),15269624
2026/2027,2ª Jun,2026-06-16,São Paulo,Combinado (CA+ML),15765526
2026/2027,2ª Mai,2026-05-16,Centro-Sul,Combinado (CA+ML),41516824
2026/2027,2ª Mai,2026-05-16,Demais Estados,Combinado (CA+ML),19581655
2026/2027,2ª Mai,2026-05-16,São Paulo,Combinado (CA+ML),21935169
