q_end,pub_day,surprise_z,pos,ret_full,ret_pre,ret_event
2015-04-30,2015-05-12,0.305252617210518,-1.0,-0.0144706778370145,-0.05178979436405173,0.0354815351194786
2015-05-15,2015-05-27,-1.2034938983022603,1.0,-0.07115821347464046,-0.059803179409538276,-0.012077294685990392
2015-05-31,2015-06-12,0.4821034210275738,-1.0,0.04750402576489532,0.03059581320450888,0.0174418604651162
2015-06-15,2015-06-29,-0.07888512154270604,1.0,0.044388609715243055,0.0008375209380233617,0.04351464435146446
2015-06-30,2015-07-13,0.3189325358910185,-1.0,-0.012820512820512775,0.005608974358974339,-0.018533440773569776
2015-07-15,2015-07-27,-1.2244130209224604,1.0,-0.023601398601398538,-0.01748251748251739,-0.006227758007117501
2015-07-31,2015-08-12,1.1045509358913,-1.0,0.023313905079100694,0.013322231473771873,0.010126582278480956
2015-08-15,2015-08-27,0.38028912477460564,-1.0,-0.011844331641285955,0.020304568527918843,-0.032815198618307395
2015-08-31,2015-09-14,0.08221491909860572,-1.0,-0.008190008190008147,-0.019656019656019597,0.011244979919678655
2015-09-15,2015-09-28,-0.8620039352372633,1.0,0.06769494430162815,0.06341045415595548,0.0040290088638195165
2015-09-30,2015-10-12,1.3331679282062026,-1.0,-0.013929618768328433,-0.0513196480938416,0.03556485355648531
2015-10-15,2015-10-27,-0.12621606594779994,1.0,0.041963015647226154,0.04125177809388325,0.000683060109289535
2015-10-31,2015-11-12,0.3820392573222503,-1.0,-0.01897018970189701,0.004742547425474308,-0.023825731790333426
2015-11-15,2015-11-27,0.19567932362444282,-1.0,0.0013377926421404007,0.0026755852842809125,-0.0013413816230716247
2015-11-30,2015-12-14,-0.023357708564146977,1.0,-0.04640522875816999,-0.04705882352941182,0.000685871056241405
2016-04-30,2016-05-12,1.4633521484687717,-1.0,-0.05136138613861374,-0.05693069306930676,0.005269320843091285
2016-05-15,2016-05-27,1.418442778627159,-1.0,-0.019042123485285778,-0.017311021350259637,-0.001701644923425949
2016-05-31,2016-06-13,-2.280743397046497,1.0,0.029146793852676156,0.045574986751457214,-0.015712113532691308
2016-06-15,2016-06-27,-2.4450684450693383,1.0,0.009109311740890691,-0.030364372469635748,0.04070981210855962
2016-06-30,2016-07-12,-0.3029320235039446,1.0,-0.06660277910876855,-0.028270244369908992,-0.03944773175542404
2016-07-15,2016-07-27,1.3117680524435618,-1.0,0.024896265560165998,-0.012448132780082943,0.03688524590163933
2016-07-31,2016-08-12,-0.4372594806681708,1.0,-0.012554321583776007,-0.029937228392081128,0.017919362867097943
2016-08-15,2016-08-29,-0.5456184280622167,1.0,0.006226053639846851,0.010057471264367956,-0.0037932669511615558
2016-08-31,2016-09-12,-0.8481360070750619,1.0,0.009147809340394941,-0.003851709195955677,0.013049782503624874
2016-09-15,2016-09-27,0.5598356643187526,-1.0,-0.047577092511013275,-0.018502202643171817,-0.028546712802768104
2016-09-30,2016-10-12,0.086983287005271,-1.0,0.03737925241495155,0.021839563208735813,0.015886646629454604
2016-10-15,2016-10-27,-0.3011509155472879,1.0,-0.020335985853227267,0.002210433244915988,-0.022496691662990842
2016-10-31,2016-11-14,-0.6192482982548762,1.0,-0.05029187247418054,-0.025594970812752638,-0.025345622119815725
2016-11-15,2016-11-28,-0.08032076204617652,1.0,-0.024317617866004837,-0.01538461538461533,-0.009072580645161255
2016-11-30,2016-12-12,0.8563970757241386,-1.0,0.017951425554382228,-0.015839493136219573,0.033264033264033155
2017-04-15,2017-04-27,-1.9113317734724136,1.0,-0.017062766605728252,-0.051188299817184646,0.03596660244059069
2017-04-30,2017-05-12,-1.2681081975853623,1.0,0.019243104554201418,0.023733162283515075,-0.004385964912280715
2017-05-15,2017-05-30,0.0575416345510367,-1.0,0.09509569377990423,0.08074162679425834,0.01561483409238762
2017-05-31,2017-06-12,0.9116106874153547,-1.0,0.009887005649717562,-0.021892655367231617,0.031098825155494225
2017-06-15,2017-06-27,2.3988422872626622,-1.0,0.07670043415340089,0.07018813314037631,0.007003891050583633
2017-06-30,2017-07-12,0.20465071755165015,-1.0,-0.030612244897959107,0.020408163265306256,-0.05208333333333348
2017-07-15,2017-07-27,0.2282520530973272,-1.0,0.002775850104094424,0.012491325468424685,-0.00983836964160223
2017-07-31,2017-08-14,0.18804693023106883,-1.0,0.04843110504774906,0.04160982264665758,0.007117437722420017
2017-08-15,2017-08-28,0.06520594418577567,-1.0,-0.015427769985974837,-0.03015427769985979,0.014295439074200056
