q_end,ret
2012-05-31,0.008474576271186418
2012-06-15,-0.04892823858341111
2012-06-30,0.011994669035984118
2012-07-15,0.04781054512958005
2012-07-31,0.008559201141226769
2012-08-15,-0.008153477218225236
2012-08-31,0.0023562676720073616
2012-09-15,0.014170996693434135
2012-09-30,0.03730620155038755
2012-10-15,-0.014580191050779234
2012-10-31,0.003964321110009772
2012-11-15,0.0029850746268658135
2012-11-30,-0.035282258064516014
2013-04-30,0.03015616585891212
2013-05-15,0.021099389228206644
2013-05-31,-0.03137478608100386
2013-06-15,0.054963544587773194
2013-06-30,0.012462908011869223
2013-07-15,0.014343086632243152
2013-07-31,-0.03223981900452488
2013-08-15,0.040707964601770064
2013-08-31,0.025944726452340694
2013-09-15,0.06708004509582866
2013-09-30,-0.0073490813648294795
2013-10-15,-0.049709148598625186
2013-10-31,-0.03189703413542255
2013-11-15,-0.05342624854819966
2013-11-30,0.00797546012269934
2014-04-15,-0.023917995444191487
2014-04-30,0.006117908787541704
2014-05-15,0.00615556799104644
2014-05-31,0.06967447173043961
2014-06-15,-0.06168122270742349
2014-06-30,0.014543339150668966
2014-07-15,-0.05253837072018874
2014-07-31,-0.006200676437429498
2014-08-15,-0.04971428571428582
2014-08-31,0.014705882352941124
2014-09-15,-0.007738095238095211
2014-09-30,-0.03839232153569294
2014-10-15,-0.02308172177167811
2014-10-31,-0.014669926650366705
2014-11-15,-0.03912764592687612
2014-11-30,-0.025367156208277786
2015-04-15,0.032137518684603794
2015-04-30,-0.12311015118790503
2015-05-15,0.012315270935960632
2015-05-31,-0.009942004971002616
2015-06-15,0.047224523612261926
2015-06-30,-0.10509554140127386
2015-07-15,0.05427046263345181
2015-07-31,-0.013628620102214661
2015-08-15,0.04534005037783362
2015-08-31,-0.0
2015-09-15,0.15024232633279477
2015-09-30,0.028089887640449396
2015-10-15,0.02011095700416088
2015-10-31,-0.0
2015-11-15,-0.02605210420841686
2015-11-30,-0.01860785665058584
2016-04-15,-0.07828282828282829
2016-04-30,-0.02440441603718768
2016-05-15,-0.11085972850678738
2016-05-31,-0.0
2016-06-15,0.004073319755600657
2016-06-30,-0.010141987829614618
2016-07-15,0.05287958115183233
2016-07-31,-0.0440594059405941
2016-08-15,0.008983451536642928
2016-08-31,0.10887290167865715
2016-09-15,-0.006399317406143412
2016-09-30,-0.020734341252699684
2016-10-15,-0.04161133244798587
2016-10-31,-0.09107720758206195
2016-11-15,-0.03460381143430302
2016-11-30,-0.03688311688311696
2017-04-15,0.03434867141931308
2017-04-30,-0.028445006321112576
2017-05-15,-0.08246073298429313
2017-05-31,-0.09570724841660805
2017-06-15,-0.04654771140418923
2017-06-30,-0.05485544848035584
2017-07-15,0.02009702009702008
2017-07-31,0.03776223776223775
2017-08-15,-0.020215633423180668
2017-08-31,-0.04332874828060518
2017-09-15,-0.03398409255242241
2017-09-30,0.011904761904761862
2017-10-15,0.022556390977443552
2017-10-31,-0.00594844679444817
2017-11-15,-0.09356725146198841
2017-11-30,0.08424110384894701
2018-04-15,0.00694444444444442
2018-04-30,-0.09192439862542967
2018-05-15,0.0031471282454760274
2018-05-31,0.017363851617995363
2018-06-15,0.08049792531120337
2018-06-30,-0.004512635379061436
2018-07-15,0.05698529411764697
2018-07-31,-0.01058201058201047
2018-08-15,0.06951871657753994
2018-08-31,-0.11516626115166262
2018-09-15,0.1842346471127405
2018-09-30,0.0589135424636571
2018-10-15,-0.041481481481481564
2018-10-31,-0.04636785162287482
2018-11-15,0.03970826580226916
2018-11-30,-0.038461538461538436
2019-04-15,-0.011354420113544261
2019-04-30,-0.008203445447087732
2019-05-15,0.06120760959470628
2019-05-31,-0.0419906687402799
2019-06-15,0.037558685446009266
2019-06-30,0.02276422764227648
2019-07-15,0.049710024855012414
2019-07-31,-0.014996053670086829
2019-08-15,0.04048582995951422
2019-08-31,-0.06587837837837829
2019-09-15,0.016640253565768592
2019-09-30,-0.0015974440894568342
2019-10-15,-0.0023923444976077235
2019-10-31,-0.015091342335186608
2019-11-15,-0.05707584050039105
2019-11-30,0.0014792899408284654
2020-04-15,-0.10234541577825151
2020-04-30,-0.04688995215311009
2020-05-15,-0.13162705667276065
2020-05-31,0.03488372093023251
2020-06-15,-0.03823279524214096
2020-06-30,0.04663212435233155
2020-07-15,0.08580858085808596
2020-07-31,-0.014179104477611948
2020-08-15,0.05899925317401056
2020-08-31,0.04400000000000004
2020-09-15,0.06053639846743297
2020-09-30,-0.06719653179190743
2020-10-15,0.01011463250168576
2020-10-31,-0.006702412868632712
2020-11-15,-0.026315789473684292
2020-11-30,0.06515580736543902
2021-04-15,0.019154929577464674
2021-04-30,-0.05418994413407818
2021-05-15,0.026132404181184787
2021-05-31,0.012650948821161467
2021-06-15,-0.030096536059057377
2021-06-30,0.08416715715126566
2021-07-15,0.08664850136239788
2021-07-31,0.011437095972153255
2021-08-15,-0.04787234042553179
2021-08-31,-0.00050787201625202
2021-09-15,0.03302845528455278
2021-09-30,-0.020428500249128012
2021-10-15,-0.0050761421319796
2021-10-31,-0.04097951024487756
2021-11-15,0.02344971339239188
2021-11-30,-0.03462321792260692
2022-04-15,-0.01111111111111096
2022-04-30,0.05010660980810222
2022-05-15,-0.04506329113924057
2022-05-31,-0.019088016967126142
2022-06-15,0.023548740416210245
2022-06-30,-0.06527554842161598
2022-07-15,0.0517241379310347
2022-07-31,-0.017213555675094194
2022-08-15,-0.016411378555798772
2022-08-31,-0.018384401114206028
2022-09-15,0.06537805571347355
2022-09-30,-0.043897216274089934
2022-10-15,-0.0959909655561828
2022-10-31,0.015128593040847016
2022-11-15,-0.0
2023-04-15,0.025047438330170757
2023-04-30,0.0278422273781902
2023-05-15,0.009199999999999986
2023-05-31,0.0862823061630218
2023-06-15,-0.04046997389033935
2023-06-30,-0.020075282308657405
2023-07-15,0.010642652476463232
2023-07-31,-0.06386485372888351
2023-08-15,-0.04841208365608063
2023-08-31,0.030661248614702652
2023-09-15,-0.0011376564277587597
2023-09-30,-0.026185958254269392
2023-10-15,0.001828822238478467
2023-10-31,0.025983399494767356
2023-11-15,0.17389705882352946
2023-11-30,0.08809207613988479
2024-04-15,0.0561172901921132
2024-04-30,-0.0016068559185857811
2024-05-15,-0.002673796791443861
2024-05-31,-0.05922431865828104
2024-06-15,0.049975259772390035
2024-06-30,0.04062499999999991
2024-07-15,0.02314571278274602
2024-07-31,0.04308023694130325
2024-08-15,-0.04315102860010034
2024-08-31,0.19618949536560248
2024-09-15,-0.017667844522968323
2024-09-30,-0.019205002233139812
2024-10-15,-0.02732240437158473
2024-10-31,0.01030444964871191
2024-11-15,-0.036883356385431054
2024-11-30,-0.07276208712302534
2025-04-15,0.0011204481792717047
2025-04-30,-0.025741466144376113
2025-05-15,-0.032165422171165914
2025-05-31,0.0005988023952097077
2025-06-15,-0.024536205864751692
2025-06-30,0.00797546012269934
2025-07-15,0.04260499087035896
2025-07-31,-0.025071225071225167
2025-08-15,0.032691185055458205
2025-08-31,0.008474576271186529
2025-09-15,0.051063829787234005
2025-09-30,0.073670723894939
2025-10-15,0.017980636237897807
2025-10-31,-0.04269972451790638
2025-11-15,0.007232084155161189
2025-11-30,0.01059602649006619
2026-04-15,-0.10164638511095192
2026-04-30,0.05927835051546393
2026-05-15,0.014383561643835585
2026-05-31,-0.038650737877722996
