fleet,site_id,name,lat,lon,v2_total,v2_night,v3_total
sugar,20597,Virgolino de Oliveira - Catanduva,-21.12905,-48.838483,1015,471,191
sugar,20003,Alto Alegre - Unidade Floresta,-21.866356,-51.259262,1015,541,167
sugar,20016,Usina Santa Adélia - Pioneiros,-20.729077,-50.959881,2207,899,445
sugar,20768,Raízen - Unidade Paraíso,-22.3487067806,-48.1068918389,958,477,169
sugar,20836,Santa Maria - (Cerquilho),-23.162608,-47.784265,1585,860,337
sugar,20827,Raízen - Unidade Santa Helena,-22.801896,-47.662629,1585,860,337
sugar,22054,CerradinhoBio,-18.468935,-52.602332,943,314,237
sugar,20011,Raízen - Parque de Bioenergia Destivale,-21.057733,-50.465011,1022,469,165
sugar,25357,Atvos - Unidade Morro Vermelho,-17.720823,-53.042161,787,225,214
sugar,21797,bp bioenergy - Unidade Ituiutaba,-19.018296,-49.673266,1957,699,442
sugar,20701,Jalles,-15.212852,-48.989124,780,232,224
sugar,20690,Iracema,-22.581614,-47.530011,3302,1722,671
sugar,22628,Tereos - Tanabi,-20.489346,-49.538308,1073,455,224
sugar,20524,Tereos - Andrade,-21.005151,-48.286113,1015,471,191
sugar,20502,bp bioenergy - Unidade Santa Juliana,-19.544355,-47.424434,1632,570,403
sugar,52125,Atvos - Unidade Água Emendada,-17.535598,-52.258908,893,288,241
sugar,22586,Viralcool - Unidade Castilho,-21.087325,-51.586668,1080,515,194
sugar,25151,Raízen - Unidade Tarumã,-22.785556,-50.547311,900,514,188
sugar,22627,Colombo - Palestina,-20.21203355892436,-49.61284114570899,1073,455,224
sugar,22122,Usina Caeté - Unidade Paulicéia,-21.278599,-51.779876,1080,515,194
sugar,22656,Cocal - Unidade Rio Brilhante,-21.731627,-54.504795,1699,847,317
sugar,20923,Delta - Unidade Volta Grande,-19.981812,-48.26577,981,391,208
sugar,20738,Raízen - Unidade Maracaí,-22.575563,-50.653431,960,495,180
sugar,20633,Coprodia,-13.786112,-57.844369,1139,509,270
sugar,55509,Rio Amambai Agroenergia,-23.130837,-54.199585,669,421,139
sugar,20726,Raízen - Unidade Lagoa da Prata,-20.075817,-45.563985,715,276,182
sugar,22332,bp bioenergy - Unidade Itapagipe,-19.890397,-49.690172,2102,847,457
sugar,22638,Usina Ipê,-21.166437,-51.468266,1080,515,194
sugar,20618,Colorado,-20.280562,-48.183149,981,391,208
sugar,20667,Usina Açucareira Ester,-22.659921,-47.211872,3302,1722,671
sugar,25352,Raízen - Unidade Centroeste,-17.701431,-51.626105,843,287,233
sugar,20852,São Francisco - (UFRA),-21.174685,-48.118198,1906,854,363
sugar,20687,Raízen - Unidade Ipaussu,-23.101779,-49.590451,879,469,174
sugar,20002,Raízen - Parque de Bioenergia Mundial,-21.196834,-51.216873,1080,515,194
sugar,25387,Atvos - Unidade Santa Luzia,-21.586143,-54.248157,887,417,166
sugar,20918,Vale do Verdão,-17.968499,-50.317196,806,252,198
sugar,20848,USA - Santo Antônio,-21.119983,-47.959909,897,386,176
sugar,22028,bp bioenergy - Unidade Tropical,-17.685819,-50.11622,806,252,198
sugar,21004,Usina Buriti,-20.219548,-47.65442,1637,642,378
sugar,51762,Atvos - Unidade Alto Taquari,-17.738689,-53.317779,1661,470,391
sugar,22291,Usina Coruripe - Unidade Limeira do Oeste,-19.524285,-50.660339,1040,397,254
sugar,20005,Raízen - Parque de Bioenergia Benálcool,-21.227226,-50.78076,1022,469,165
sugar,20825,Raízen - Santa Elisa,-21.112211,-48.076343,1906,854,363
sugar,20331,Usina Vertente,-20.405302,-49.001647,2044,842,418
sugar,20925,Raízen - Unidade Araraquara - (Zanin),-21.858798,-48.186376,958,477,169
sugar,22626,bp bioenergy - Unidade Guariroba,-20.113116,-49.760652,1073,455,224
sugar,20008,Clealco - Unidade Clementina,-21.577753,-50.43359,1022,469,165
sugar,25581,Jalles - Unidade Otávio Lage,-15.082756,-49.305576,789,243,214
sugar,20007,Zilor - Unidade Salto Botelho,-21.566696,-50.959826,2096,981,355
sugar,56467,Albioma Esplanada,-15.08187,-49.30662,789,243,214
sugar,20917,Raízen - Unidade Vale do Rosário,-20.613533,-48.001201,886,350,200
sugar,20682,Tereos - Unidade Industrial Severínia,-20.822132,-48.822063,1996,862,399
sugar,20642,Usina da Pedra,-21.178916,-47.628776,1687,709,349
sugar,22643,Raízen - Unidade Continental,-20.232822,-48.622404,981,391,208
sugar,25296,bp bioenergy - Unidade Itumbiara,-18.519436,-49.360472,928,307,209
sugar,20517,Alta Mogiana - Unidade São Joaquim da Barra,-20.48531,-47.870974,1637,642,378
sugar,20757,Coruripe - Filial Carneirinho,-19.813585,-50.783183,1040,397,254
sugar,21008,Zambianco Açúcar e Álcool,-22.972077,-47.794317,1585,860,337
sugar,20731,Tereos - Mandu,-20.478369,-48.40847,981,391,208
sugar,20688,Ipiranga - Descalvado,-21.831952,-47.751109,1717,862,334
sugar,20868,Vale do Verdão - Unidade São Luiz,-21.887406,-47.308402,1717,862,334
sugar,22753,bp bioenergy - Unidade Monteverde,-22.298622,-55.10252,687,390,113
sugar,22018,bp bioenergy - Unidade Frutal,-20.082318,-48.819302,981,391,208
sugar,20845,Ipiranga - Mococa,-21.344424,-47.153852,1687,709,349
sugar,22654,Panorama,-18.338944,-49.86485,928,307,209
sugar,20854,Raízen - Unidade São Francisco - (Elias Fausto),-23.0236,-47.457232,1585,860,337
sugar,54663,Ipiranga - Passos,-20.665014,-46.552988,788,309,171
sugar,20505,Atvos - Unidade Alcídia,-22.34946,-52.52364,1011,557,185
sugar,20771,Cocal - Unidade Passa Tempo,-21.517092,-54.711299,887,417,166
sugar,22621,Jalles - Unidade Santa Vitória,-18.779444,-50.233773,861,301,212
sugar,21012,Cevasa,-20.752125,-47.433114,1637,642,378
sugar,53132,Cambuí,-17.924918,-50.634606,806,252,198
sugar,20734,Raízen - Unidade MB,-20.780267,-48.20097,1996,862,399
sugar,20544,Usina Batatais,-20.749694,-47.570453,1637,642,378
sugar,22663,Uberaba,-19.393489,-47.822877,1632,570,403
sugar,20750,Adecoagro - Unidade Monte Alegre,-21.386448,-46.247252,819,378,181
sugar,20545,Bazan,-21.009699,-47.992251,897,386,176
sugar,20801,Zilor - Unidade Quatá,-22.26147,-50.648202,960,495,162
sugar,20546,Bela Vista,-20.938795,-48.080024,1906,854,363
sugar,20820,Usina Santa Adélia - Jaboticabal,-21.334666,-48.302829,1015,471,191
sugar,21010,Nova Platina Bioenergia,-22.665231,-50.219045,1860,1009,350
sugar,22657,Alto Alegre - Unidade Santo Inácio,-22.652761,-51.778915,1880,1034,339
sugar,21618,União de Minas,-19.57050040216033,-50.327296327991625,1040,397,254
sugar,21937,Adecoagro - Unidade Angélica,-22.08659,-53.823633,1718,961,341
sugar,26288,Floresta,-17.586062,-50.722965,806,252,198
ammonia,45257029,Abu Qir Fertilizer Complex,31.2716622,30.0932573,1016,711,194
ammonia,45257213,Yara Porsgrunn,59.1163105,9.6348845,0,0,0
ammonia,45257062,Damietta Fertilizers Complex,31.4629882,31.7799027,648,412,116
ammonia,45257214,Yara Sluiskil,51.2778267,3.8530853,4551,1617,868
ammonia,45257239,Hengam Ammonia and Urea Petrochemical Complex,27.5820987255843,52.519171552746,877,500,127
ammonia,45257115,Jonava Fertilizer,55.0855039,24.3340412,0,0,0
ammonia,45257036,Azomures Targu Mures Fertilizers,46.5157884,24.5021878,3141,797,528
ammonia,45257135,Linz Melamine and Fertilizers Complex,48.2895958,14.3307955,2716,858,425
ammonia,45257166,Port Harcourt Fertilizer Complex,4.8354765,7.1029183,663,224,166
ammonia,45257127,Kutina Fertilizers Complex,45.4664391,16.7965075,1958,505,376
ammonia,45257240,Kermanshah Urea/Ammonia Project,34.3547213630215,47.4552215972079,946,627,127
ammonia,45257156,Odessa Portside Fertilizers,46.6264974,31.1026765,456,320,96
ammonia,45257229,Anwil,52.6986934223594,18.9685232403693,2000,855,583
ammonia,45257055,Chemelot-Geleen Fertilizers facility,50.9754643,5.8023248,3653,1161,616
ammonia,45257037,Azot Cherkassy Fertilizers,49.4075415,32.1213683,664,455,147
ammonia,45257069,Dneprazot Fertilizers,48.4925986,34.6561695,869,386,147
ammonia,45257226,Zakłady Azotowe Puławy,51.4520685565023,21.9829638501153,1395,598,427
ammonia,33999004,BEL-Antwerpen_ammonia,51.3624,4.2772,8368,2910,1626
ammonia,45257068,Dimitrovgrad Fertilizer Complex,42.0514348,25.6174539,1513,611,294
ammonia,45257157,Onne (Port Harcourt) Fertilizer Complex,4.7744893,7.012544,663,224,166
ammonia,33999241,GBR-Stockton-on-Tees_ammonia,54.5630516937368,-1.32997994510473,0,0,0
ammonia,45257237,Razi Petrochemical Complex,30.452301571242,49.0874570399817,762,488,107
ammonia,45257139,Marv Dasht Petrochemical Complex,29.8875278,52.741112,900,568,152
ammonia,45257159,Ottmarsheim Fertilizers,47.7959398,7.5227782,4607,1408,747
ammonia,45257030,Alexandria Fertilizer Complex,31.2716622,30.0932573,1016,711,194
ammonia,45257203,Wittenberg Fertilizers Complex,51.8712639,12.582233,4407,1880,794
ammonia,45257171,Rivneazot Fertilizers,50.7180091,26.1600144,1114,586,282
ammonia,45257105,Helwan Fertilizer Plant,29.7758725,31.3022137,1240,783,231
ammonia,45257074,Duslo Sala Chemical Complex,48.1808202,17.9378555,2721,769,508
ammonia,45257256,Billingham Fertilizers,54.5943025,-1.2918619,0,0,0
ammonia,45257079,Ferrara Fertilizers facility,44.8581344,11.5935729,3558,1074,604
ammonia,45257033,Aswan Kima Fertilizer Complex,24.0611469,32.9161871,570,360,97
ammonia,45257150,Nea Karvali Fertilizers,40.955,24.4796,3072,1219,601
ammonia,45257238,Bandar Abbas Gas Condensate Refinery,27.1627057993862,56.0518374287844,1601,876,352
ammonia,45257154,Nitrogenous Fertilizer Complex,29.9463098,32.4672762,736,428,132
ammonia,45257230,Ludwigshafen,49.551684416784,8.40087390938092,3125,877,561
ammonia,45257175,Salalah Methanol Complex,16.9344039,53.9872367,314,129,81
ammonia,45257233,INEOS Nitriles Cologne,51.0723534866003,6.85601303697041,5713,1485,945
ammonia,45257227,Grupa Azoty Kędzierzyn (ZAK),50.3122158800777,18.2467943536275,5106,1781,1091
ammonia,33999044,HUN-Várpalota_ammonia,47.1565,18.1401,2427,686,438
ammonia,45257228,Grupa Azoty S.A (Tarnów),50.0148632255032,20.9208675212722,2573,892,567
ammonia,33998934,CZE-Most_ammonia,50.5521841185891,13.6253630022868,8892,3405,1490
ammonia,33998943,BEL-Hainaut_ammonia,50.4636955021351,3.97003361295229,9437,3377,1724
ammonia,33999247,HUN-Kazincbarcikai_ammonia,48.2479,20.6639,2603,680,491
ammonia,45257235,Sagunto Catalina Project,39.6476923210642,-0.224196877555634,2374,911,485
ammonia,45257169,Puertollano Fertilizers,38.66396,-4.0584502,946,588,188
ammonia,45257130,Le Havre Fertilizers,49.480361,0.2063795,4147,1897,704
ammonia,90001,Point Lisas Industrial Estate (multiple ammonia trains),10.3967,-61.4821,425,306,91
ammonia,90002,QAFCO Mesaieed,24.9201,51.5657,733,375,136
ammonia,90003,Dangote Fertilizer Lekki,6.4418,4.0482,937,353,188
ammonia,90005,Shiraz Petrochemical,29.8839,52.7459,900,568,152
ammonia,90007,SAFCO / Maaden Al-Jubail,27.05,49.55,1754,983,285
ammonia,90008,OMIFCO Sur,22.6407,59.4292,370,197,100
ammonia,90009,Indorama Eleme,4.8356,7.103,663,224,166
ammonia,90010,Ruwais Fertil,24.1349,52.7389,702,338,138
ammonia,90011,Bintulu ABF/PCF,3.26,113.08,268,149,61
ammonia,90012,Kaltim (Bontang complex),0.1816,117.4902,381,230,74
dairy,200,Fonterra Whareroa Hawera,-39.6078519,174.2983774,3521,1941,883
dairy,201,Fonterra Clandeboye,-44.2124549,171.3816858,1857,954,419
dairy,202,Fonterra Darfield,-43.4532743,172.0831654,1836,944,419
dairy,203,Fonterra Edendale,-46.3077649,168.7840053,3669,1961,896
dairy,204,Fonterra Te Rapa Hamilton,-37.7632944,175.2399001,1597,850,360
dairy,205,Fonterra Lichfield,-38.13647,175.8217799,1583,846,389
dairy,206,Fonterra Waitoa,-37.5981156,175.6298271,1597,850,360
dairy,207,Fonterra Pahiatua,-40.4449594,175.8187577,3119,1719,724
dairy,208,Fonterra Kauri Whangarei,-35.6337661,174.2990655,2555,1310,570
dairy,209,Fonterra Maungaturoto,-36.1029292,174.3725778,5539,2851,1234
dairy,210,Fonterra Edgecumbe,-37.9770975,176.8328683,2436,1298,574
dairy,211,Fonterra Te Awamutu,-38.0024699,175.311476,3129,1664,749
dairy,212,Fonterra Takaka,-40.8588,172.8055,1851,1002,414
dairy,213,Fonterra Stirling,-46.2455,169.7788,3472,1836,823
dairy,214,Open Country Dairy Waharoa,-37.7573,175.7483,1597,850,360
dairy,215,Open Country Dairy Awarua,-46.4967734,168.3723083,3669,1961,896
dairy,216,Open Country Dairy Whanganui,-39.9294,174.9871,1777,961,401
dairy,217,Open Country Dairy Horotiu,-37.704,175.193,1597,850,360
dairy,218,Synlait Dunsandel,-43.6605,172.1975,1836,944,419
dairy,219,Synlait Pokeno,-37.2532196,175.0210376,1597,850,360
dairy,220,Oceania Dairy Glenavy,-44.8810548,171.0953383,3734,1896,900
dairy,221,Westland Milk Products Hokitika,-42.7244256,170.9787767,1791,910,403
dairy,222,Miraka Mokai,-38.529,175.9105,2704,1426,614
dairy,223,Tatua Dairy Morrinsville,-37.6235,175.5958,1597,850,360
dairy,224,Mataura Valley Milk McNab Gore,-46.0827444,168.9927082,8006,4254,1895
dairy,225,Danone Nutricia Balclutha,-46.236,169.7375,3472,1836,823
