q_end,pub_day,surprise_z,pos,ret_full,ret_pre,ret_event
2015-04-15,2015-04-27,0.08586916522691815,-1.0,-0.04340962904498813,-0.041041831097079706,-0.0022744503411675776
2015-04-30,2015-05-12,0.2776297035047424,-1.0,-0.0144706778370145,-0.05178979436405173,0.0354815351194786
2015-05-15,2015-05-27,-1.1658471295157367,1.0,-0.07115821347464046,-0.059803179409538276,-0.012077294685990392
2015-05-31,2015-06-12,0.4606401725149411,-1.0,0.04750402576489532,0.03059581320450888,0.0174418604651162
2015-06-15,2015-06-29,-0.024978758216762133,1.0,0.044388609715243055,0.0008375209380233617,0.04351464435146446
2015-06-30,2015-07-13,0.28639267788589534,-1.0,-0.012820512820512775,0.005608974358974339,-0.018533440773569776
2015-07-15,2015-07-27,-0.9504073751522613,1.0,-0.023601398601398538,-0.01748251748251739,-0.006227758007117501
2015-07-31,2015-08-12,1.136195625245923,-1.0,0.023313905079100694,0.013322231473771873,0.010126582278480956
2015-08-15,2015-08-27,0.20484630760071998,-1.0,-0.011844331641285955,0.020304568527918843,-0.032815198618307395
2015-08-31,2015-09-14,-0.008654365093042049,1.0,0.008190008190008147,0.019656019656019597,-0.011244979919678655
2015-09-15,2015-09-28,-0.8768612047469413,1.0,0.06769494430162815,0.06341045415595548,0.0040290088638195165
2015-09-30,2015-10-12,1.0720706390192511,-1.0,-0.013929618768328433,-0.0513196480938416,0.03556485355648531
2015-10-15,2015-10-27,-0.25789703886476834,1.0,0.041963015647226154,0.04125177809388325,0.000683060109289535
2015-10-31,2015-11-12,0.3367728954239872,-1.0,-0.01897018970189701,0.004742547425474308,-0.023825731790333426
2015-11-15,2015-11-27,0.2854466668788301,-1.0,0.0013377926421404007,0.0026755852842809125,-0.0013413816230716247
2015-11-30,2015-12-14,0.4864289771873547,-1.0,0.04640522875816999,0.04705882352941182,-0.000685871056241405
2016-04-15,2016-04-27,2.710199724407471,-1.0,0.006325110689437086,-0.015180265654648917,0.021183800623052917
2016-04-30,2016-05-12,-1.8621019117961422,1.0,0.05136138613861374,0.05693069306930676,-0.005269320843091285
2016-05-15,2016-05-27,-0.6390402248417175,1.0,0.019042123485285778,0.017311021350259637,0.001701644923425949
2016-05-31,2016-06-13,-1.9866454423371573,1.0,0.029146793852676156,0.045574986751457214,-0.015712113532691308
2016-06-15,2016-06-27,-1.9882090744795042,1.0,0.009109311740890691,-0.030364372469635748,0.04070981210855962
2016-06-30,2016-07-12,-0.2498787169981899,1.0,-0.06660277910876855,-0.028270244369908992,-0.03944773175542404
2016-07-15,2016-07-27,1.0960342521397348,-1.0,0.024896265560165998,-0.012448132780082943,0.03688524590163933
2016-07-31,2016-08-12,-0.4645164502834681,1.0,-0.012554321583776007,-0.029937228392081128,0.017919362867097943
2016-08-15,2016-08-29,-0.540270337424588,1.0,0.006226053639846851,0.010057471264367956,-0.0037932669511615558
2016-08-31,2016-09-12,-0.9039996118801102,1.0,0.009147809340394941,-0.003851709195955677,0.013049782503624874
2016-09-15,2016-09-27,0.5165136404431963,-1.0,-0.047577092511013275,-0.018502202643171817,-0.028546712802768104
2016-09-30,2016-10-12,-0.10577548532898477,1.0,-0.03737925241495155,-0.021839563208735813,-0.015886646629454604
2016-10-15,2016-10-27,-0.5810531518561981,1.0,-0.020335985853227267,0.002210433244915988,-0.022496691662990842
2016-10-31,2016-11-14,-0.7577224038875774,1.0,-0.05029187247418054,-0.025594970812752638,-0.025345622119815725
2016-11-15,2016-11-28,-0.623169019454681,1.0,-0.024317617866004837,-0.01538461538461533,-0.009072580645161255
2016-11-30,2016-12-12,0.016900122185621244,-1.0,0.017951425554382228,-0.015839493136219573,0.033264033264033155
2017-04-15,2017-04-27,-1.82059533136339,1.0,-0.017062766605728252,-0.051188299817184646,0.03596660244059069
2017-04-30,2017-05-12,0.6471265910710795,-1.0,-0.019243104554201418,-0.023733162283515075,0.004385964912280715
2017-05-15,2017-05-30,1.3802035040361333,-1.0,0.09509569377990423,0.08074162679425834,0.01561483409238762
2017-05-31,2017-06-12,0.808251121756464,-1.0,0.009887005649717562,-0.021892655367231617,0.031098825155494225
2017-06-15,2017-06-27,1.9018429694420946,-1.0,0.07670043415340089,0.07018813314037631,0.007003891050583633
2017-06-30,2017-07-12,0.25547456151765613,-1.0,-0.030612244897959107,0.020408163265306256,-0.05208333333333348
2017-07-15,2017-07-27,0.2843865458453245,-1.0,0.002775850104094424,0.012491325468424685,-0.00983836964160223
2017-07-31,2017-08-14,0.2611237925773592,-1.0,0.04843110504774906,0.04160982264665758,0.007117437722420017
2017-08-15,2017-08-28,0.1515484834393939,-1.0,-0.015427769985974837,-0.03015427769985979,0.014295439074200056
2017-08-31,2017-09-12,0.1484998381451562,-1.0,-0.011619958988380086,-0.014354066985645897,0.0026954177897573484
2017-09-15,2017-09-27,0.632137665346623,-1.0,0.05102040816326536,0.05374149659863936,-0.0028756290438531895
2017-09-30,2017-10-12,-0.10921416238218241,1.0,0.001389854065323215,-0.006254343293954134,0.007692307692307665
2017-10-15,2017-10-27,0.07579369163629882,-1.0,-0.05214285714285727,-0.007857142857142785,-0.043940467753366574
2017-10-31,2017-11-13,-0.11619888744138733,1.0,0.037087912087911956,0.027472527472527597,0.009358288770053402
2017-11-15,2017-11-27,0.265409662389085,-1.0,0.021470396877033227,-0.005204944697462688,0.026537216828478982
2017-11-30,2017-12-12,-0.7052047219797265,1.0,-0.07046979865771819,-0.06375838926174504,-0.007168458781361964
2018-04-15,2018-04-27,0.6871185217904618,-1.0,0.010109519797809496,0.04128053917438912,-0.03251318101933198
2018-04-30,2018-05-14,0.6109738352567489,-1.0,-0.014554794520547976,0.006849315068493178,-0.02155172413793105
2018-05-15,2018-05-29,-0.7527554849251102,1.0,0.03470540758676344,0.02986279257465685,0.004702194357366851
2018-05-31,2018-06-12,-0.6334659205061128,1.0,0.0348742903487429,0.02514193025141931,0.009493670886075778
2018-06-15,2018-06-27,-0.3385790393379424,1.0,0.004922067268252617,0.021328958162428302,-0.016064257028112428
2018-06-30,2018-07-12,-0.6060933622652547,1.0,-0.04529616724738672,-0.016550522648083765,-0.029229406554472814
2018-07-15,2018-07-27,-0.5103691300674662,1.0,-0.026978417266186994,-0.008093525179856065,-0.01903898458748854
2018-07-31,2018-08-13,-0.43558748505125655,1.0,-0.041631265930331396,-0.022939677145284554,-0.019130434782608785
2018-08-15,2018-08-27,-1.0484248554406834,1.0,0.013686131386861256,0.008211678832116709,0.005429864253393646
2018-08-31,2018-09-12,0.2611140134739531,-1.0,-0.06501283147989723,-0.02651839178785287,-0.03749999999999987
2018-09-15,2018-09-27,-0.5488510482744114,1.0,-0.03614457831325302,-0.061101549053356186,0.02658111824014653
2018-09-30,2018-10-12,-1.1232854922567013,1.0,0.06334125098970689,0.022961203483768733,0.03947368421052633
