year,month,kgms_000,mean,std,milk_z,index,n_obs
2016,1,208036,207132.45454545456,6859.370369992224,0.13172425540661767,-0.11025893998223214,29
2016,2,171624,169826.45454545456,6377.939045861705,0.28183797957614065,0.024227237681054434,24
2016,3,162357,172621.54545454544,8500.660896231966,-1.2074996967700877,0.16527012670024233,36
2016,4,134607,146264.0909090909,8241.571057201963,-1.4144258210216205,-0.4616626862806546,35
2016,5,82798,94232.90909090909,8302.620025685203,-1.3772651350457752,0.526859683802559,24
2016,6,13013,19870.18181818182,3476.833180300195,-1.9722493034853517,-0.11327623540580595,17
2016,7,19923,24999.090909090908,3057.822933217209,-1.6600342858146566,0.03823694395298225,27
2016,8,113130,118111.0,5584.631291917733,-0.891912060015255,-0.16362574557464182,22
2016,9,210113,216739.9,7570.952185088004,-0.8753060167322883,-0.1454133995405083,36
2016,10,247431,260403.1,8109.454652852229,-1.5996266771696546,-0.18477348043916447,16
2016,11,234770,243114.3,5648.270808152016,-1.4773193926815367,0.12899917513658124,17
2016,12,225501,225552.5,6255.264045408292,-0.008233065722909624,0.06796732564082608,17
2017,1,209690,207132.45454545456,6859.370369992224,0.3728542587135939,-0.22680954170124765,25
2017,2,171172,169826.45454545456,6377.939045861705,0.2109686914330879,0.2880377626687208,28
2017,3,178463,172621.54545454544,8500.660896231966,0.6871765168333985,-0.5960313214926956,15
2017,4,143763,146264.0909090909,8241.571057201963,-0.3034725893560444,0.01490530596716501,29
2017,5,84037,94232.90909090909,8302.620025685203,-1.228035133411713,0.13418338104086672,31
2017,6,15672,19870.18181818182,3476.833180300195,-1.2074728928522658,0.21042049375094452,26
2017,7,21496,24999.090909090908,3057.822933217209,-1.1456160103440725,-0.30262114069875534,15
2017,8,111385,118111.0,5584.631291917733,-1.204376734724474,-0.013871744785691016,25
2017,9,207418,216739.9,7570.952185088004,-1.2312718099528768,-0.4358685964716843,26
2017,10,254558,260403.1,8109.454652852229,-0.7207759646259552,0.018745798027885913,24
2017,11,242644,243114.3,5648.270808152016,-0.0832644212669859,-0.08402358506684639,21
2017,12,215089,225552.5,6255.264045408292,-1.6727511299352398,-0.2668364991884617,29
2018,1,194128,207132.45454545456,6859.370369992224,-1.8958670904177026,0.5291153317153326,27
2018,2,165225,169826.45454545456,6377.939045861705,-0.7214641771216346,0.6466300745045866,21
2018,3,174572,172621.54545454544,8500.660896231966,0.22944740053318963,-0.05087158861220827,34
2018,4,148177,146264.0909090909,8241.571057201963,0.23210490786674431,0.2123126819773533,21
2018,5,88812,94232.90909090909,8302.620025685203,-0.6529154741682531,-0.14810763285849673,22
2018,6,17565,19870.18181818182,3476.833180300195,-0.6630119130371354,0.17060497410200953,22
2018,7,22470,24999.090909090908,3057.822933217209,-0.8270887374207736,-0.1467703092811552,16
2018,8,116478,118111.0,5584.631291917733,-0.2924096354155614,0.5412904851619209,18
2018,9,219511,216739.9,7570.952185088004,0.3660173690514194,0.09502640031309763,26
2018,10,271080,260403.1,8109.454652852229,1.3165990139971684,0.3283183219711423,22
2018,11,248156,243114.3,5648.270808152016,0.8926094677902917,-0.18299361705043737,33
2018,12,228238,225552.5,6255.264045408292,0.42931840774512225,0.3589318417742579,24
2019,1,209036,207132.45454545456,6859.370369992224,0.2775102308038222,0.07648260998046323,23
2019,2,165025,169826.45454545456,6377.939045861705,-0.7528222692203305,0.05282245163293334,37
2019,3,161433,172621.54545454544,8500.660896231966,-1.316197127626267,0.10332350730575417,35
2019,4,136728,146264.0909090909,8241.571057201963,-1.1570719760715673,0.1780883331804518,22
2019,5,87839,94232.90909090909,8302.620025685203,-0.7701073963554546,-0.02723933921325912,17
2019,6,19917,19870.18181818182,3476.833180300195,0.01346575443522942,0.05329016173307553,27
2019,7,23539,24999.090909090908,3057.822933217209,-0.47749360933555146,-0.07244275360109233,23
2019,8,119066,118111.0,5584.631291917733,0.1710050225485984,0.1382352923972154,27
