date,eurostat_z,eurostat_level,sat_all,sat_clean,n,n_plants,sat_clean_3m
2017-02-01,0.2533492436048389,120.25999999999999,0.07207021892664146,-0.10285638055240892,11,6,-0.15572748319644558
2017-03-01,0.61196377167237,134.2,-0.19187000026197318,-0.20859858584048227,10,4,-0.10900301675407682
2017-04-01,0.48982932077840163,99.8,-0.1716131488769092,-0.015554083869339286,20,7,-0.04330438127268543
2017-05-01,-0.2904696828570939,82.64,0.03230892336790167,0.09423952589176525,19,7,0.22830164079198442
2017-06-01,-0.6738042878036722,79.8,0.3497012935861084,0.6062194803535272,18,7,0.33423100413399087
2017-07-01,0.21030027597227288,86.64,0.21172957216168836,0.30223400615668006,13,7,0.2939861264583549
2017-08-01,0.5671286304753606,89.74000000000001,-0.019016597922012206,-0.02649510713514258,13,6,0.05815478295927443
2017-09-01,0.4503964480355235,102.8,0.02982426697122576,-0.10127455014371418,11,6,0.015550242383980672
2017-10-01,0.24745364663899688,112.4,-0.05481755200562981,0.1744203844307988,14,6,0.22053388710520352
2017-11-01,0.8067742061623481,115.9,0.632677673685349,0.5884558270285261,9,4,0.2722852381034199
2017-12-01,0.826141133517994,106.3,0.17874168713970484,0.05397950285093503,11,5,0.312405759193882
2018-01-01,0.4264749838779473,117.5,0.15878259640065062,0.29478194770218513,8,3,-0.05499305767831486
2018-02-01,-0.0674701937134032,114.41666666666667,-0.26182533949694486,-0.5137406235880646,11,6,-0.1938325830398344
2018-03-01,-0.48538447668967116,116.35000000000001,-0.39449979215077297,-0.36253907323362355,7,3,-0.22044539187875314
2018-04-01,0.010628826694789048,97.8,0.18511855913091932,0.21494352118542887,17,7,0.021214881625823568
2018-05-01,-0.16249717224126134,88.96666666666665,0.5139150532000201,0.2112401969256655,16,6,0.016728231779409537
2018-06-01,-0.06415600853112731,89.14999999999999,-0.2882931429188458,-0.3759990227728656,11,5,-0.32126360571720597
2018-07-01,-0.19293293124569902,87.60000000000001,-0.6874305779205144,-0.7990319913044176,25,7,-0.6663335475434272
2018-08-01,0.3160197849976534,90.71666666666665,-0.6369735098236577,-0.8239696285529982,16,7,-0.5737335983224332
2018-09-01,-0.04260390890815293,97.85000000000001,-0.0463489389627005,-0.09819917510988385,17,5,-0.23325517093707693
2018-10-01,0.28033938956198906,109.71666666666665,0.11686139470409722,0.22240329085165128,14,6,0.14676604054133266
2018-11-01,-0.26247223525890945,103.31666666666666,0.30983893968564175,0.31609400588223063,7,5,0.2698252978540222
2018-12-01,-0.1109737526091736,98.73333333333333,0.2709785968281848,0.2709785968281848,6,3,0.1857137492400265
2019-01-01,0.48739197125627554,116.10000000000001,0.12735106576273428,-0.029931354990335817,6,3,0.1454532293577968
2019-02-01,-0.2619895043742364,113.43333333333334,0.24011653831766963,0.19531244623554156,20,6,0.0724757523098859
2019-03-01,0.21054199340609556,126.28333333333335,0.10997306323923293,0.052046165684452056,8,4,0.04049863347790272
2019-04-01,0.086479503143997,100.31666666666666,-0.12453440834423862,-0.12586271148628536,10,5,0.0033246787797688118
2019-05-01,0.6364134306784529,102.35000000000001,0.09635239458825919,0.08379058214113985,16,6,-0.19865802347919637
2019-06-01,0.5171930593636825,93.56666666666666,-0.3129978505814183,-0.5539019410924435,14,6,-0.12635632550836998
2019-07-01,0.4462663647132998,92.45,-0.05484059137143225,0.09104238242619381,20,7,-0.046435220169073387
2019-08-01,0.02433486602230861,87.66666666666667,0.1849476025109236,0.3235538981590297,15,6,0.08218777323695332
2019-09-01,-0.42091543110998825,93.85000000000001,0.003441241689386241,-0.1680329608743634,11,5,0.17837982641400182
2019-10-01,-0.45598477275385235,105.41666666666667,0.36181979348962456,0.37961854195733935,14,5,-0.058623224782791916
2019-11-01,-0.505878507069698,99.14999999999999,-0.4645676664413842,-0.38745525543135156,6,2,0.04246971029341109
2019-12-01,-0.7642415416618239,95.08333333333333,0.1352458443542456,0.1352458443542456,6,4,-0.07062857587627504
2020-01-01,-0.7194788229070418,106.93333333333334,-0.20175742970175367,0.04032368344828099,6,3,0.05052954546002895
2020-02-01,0.3702277264896583,120.43333333333334,-0.021677627841148215,-0.023980891422439622,13,4,0.17361919475075385
2020-03-01,-0.6743855698956905,114.13333333333333,0.305854872464399,0.5045147922264204,8,5,0.19613774012057303
2020-04-01,-0.3360023827696568,93.60000000000001,0.12995761599805805,0.1078793195577384,12,5,0.134602773815402
2020-05-01,0.1662713707428021,96.64999999999999,-0.396107995682944,-0.2085857903379526,16,6,0.025099375263143764
2020-06-01,0.5694510664705544,96.56666666666666,0.1822056501697109,0.17600459656964562,19,7,0.1375913860434391
