group,ym,z,n
iran_inland,2025-05-01,0.19363600058285413,39
iran_inland,2025-06-01,0.29287650802905474,38
iran_inland,2025-07-01,-0.11716305799627647,33
iran_inland,2025-08-01,0.07507957877459213,42
iran_inland,2025-09-01,0.09971664504461389,40
iran_inland,2025-10-01,0.2885499432967542,37
iran_inland,2025-11-01,0.6229651746842235,41
iran_inland,2025-12-01,0.6622216968954652,14
iran_inland,2026-01-01,0.08595059892516202,26
iran_inland,2026-02-01,0.017672899134266052,35
iran_inland,2026-03-01,-0.5253217567947304,31
iran_inland,2026-04-01,-0.23174012949172965,27
iran_inland,2026-05-01,-0.8161748929628243,30
iran_inland,2026-06-01,-0.754422944472979,40
iran_inland,2026-07-01,-0.37793666502592005,41
iran_inland,2026-08-01,-0.3713842768586252,25
oman_outside,2024-01-01,0.1360889658818542,9
oman_outside,2024-02-01,-0.4662875571929048,9
oman_outside,2024-03-01,-0.9832213528097935,8
oman_outside,2024-04-01,-0.5723043253808177,10
oman_outside,2024-05-01,-0.05536999378962629,11
oman_outside,2024-06-01,0.5454208826736372,9
oman_outside,2024-08-01,-0.05971759030875779,6
oman_outside,2024-09-01,0.3461234108968184,10
oman_outside,2024-10-01,0.03728577460631936,11
oman_outside,2024-11-01,-0.496379058322346,11
oman_outside,2024-12-01,-0.616328915561374,8
oman_outside,2025-01-01,0.14762667354151057,8
oman_outside,2025-02-01,0.3225953089403646,10
oman_outside,2025-03-01,0.3001603835798428,11
oman_outside,2025-04-01,0.5460844843721077,11
oman_outside,2025-05-01,0.18499719296361467,10
oman_outside,2025-06-01,0.03138016205067653,9
oman_outside,2025-08-01,-0.12063435974800608,7
oman_outside,2025-09-01,0.5339859717593581,6
oman_outside,2025-10-01,-0.041568723890574824,10
oman_outside,2025-11-01,0.26565579006500467,11
oman_outside,2025-12-01,0.3303760956185675,8
oman_outside,2026-01-01,0.7256288686503486,8
oman_outside,2026-02-01,0.20898940652814865,10
oman_outside,2026-03-01,-0.2584646872720812,7
oman_outside,2026-04-01,-0.20883129324659774,11
oman_outside,2026-05-01,-0.019006231736088824,12
oman_outside,2026-06-01,0.13542622142062544,10
oman_outside,2026-07-01,-0.044989136731707235,8
