safra,year,month,half,crush_z,pred_z,std_t,mean_t,actual_t,pred_t,mae_sat,mae_clim,mae_naive
2017,2017.0,4.0,1.0,0.3142629435914683,-0.016220516457771172,7400591.804197119,15354818.235294119,17680550.0,15234776.814136893,2.4457731858631075,2.3257317647058815,15.256761
2017,2017.0,4.0,2.0,-0.4437680059926502,-0.31356321932450837,8516875.157387866,28043626.70588235,24264110.0,25373047.912946884,1.1089379129468835,3.779516705882352,4.813864611300841
2017,2017.0,5.0,1.0,0.050876176431993776,-0.2578020663282017,6248359.632209185,38255510.35294118,38573403.0,36644670.32859593,1.9287326714040711,0.3178926470588222,14.504649017522643
2017,2017.0,5.0,2.0,-1.6917816229078533,-0.27833134730243336,5126005.382997768,40362949.705882356,31690868.0,38936221.72135306,7.245353721353061,8.672081705882356,7.648205788654536
2017,2017.0,6.0,1.0,0.19285842700881026,0.005708357653331164,5886870.709300845,38371575.375,39506908.0,38405179.73846761,1.1017282615323887,1.135332625,18.880537866052894
2017,2017.0,6.0,2.0,0.8487779944034907,0.10137562158925767,5425478.267419443,43109819.4375,47714846.0,43659830.66927865,4.055015330721348,4.6050265625,3.9889363385486973
2017,2017.0,7.0,1.0,0.8785533011656168,-0.1294818906163367,4973429.180907848,43630313.375,47999736.0,42986344.3618096,5.013391638190404,4.369422625,4.445200891574465
2017,2017.0,7.0,2.0,0.7567826776016459,-0.012532182208855769,4402239.455398384,47575715.4375,50907254.0,47520545.77051793,3.3867082294820694,3.3315385625,4.3457926468338295
2017,2017.0,8.0,1.0,0.43270750371060296,0.4321688088549085,3978554.0410951176,43714673.8125,45436224.0,45434080.773404956,0.002143226595044136,1.7215501875,2.293148276521638
2017,2017.0,8.0,2.0,-1.5953457013376438,0.06250011323833202,3476766.8194732494,44622249.0,39075604.0,44839547.31992035,5.763943319920354,5.546645,1.9334559448840394
2017,2017.0,9.0,1.0,1.2846629933703893,0.2708345374585231,4017887.737201921,40311478.3125,45473110.0,41399661.07936536,4.073448920634642,5.1616316875,8.834426121605023
2017,2017.0,9.0,2.0,0.7802007074956642,0.3283268700193698,6045467.473542648,35743300.0,40459978.0,37728189.413392164,2.731788586607836,4.716678,1.5385418774448112
2017,2017.0,10.0,1.0,0.13333813395937427,0.12217868317934982,5711183.589325024,31758321.4375,32519840.0,32456106.327839244,0.06373367216075584,0.7615185625,0.8314664284180849
2017,2017.0,10.0,2.0,-0.08510743551307025,0.5149506896463975,5779666.13063389,30636118.5625,30144226.0,33612361.62239584,3.468135622395843,0.4918925625,1.2210471982838922
2017,2017.0,11.0,1.0,0.09658909708073113,0.5195436424248003,5598769.207336156,22908959.9375,23449740.0,25817764.88457524,2.3680248845752403,0.5407800625,2.0332200491045676
2017,2017.0,11.0,2.0,-0.21434024367505655,0.4118888387511672,6517680.900922543,16667879.3125,15270878.0,19352439.330131646,4.081561330131646,1.3970013125,4.161349873778455
2018,2018.0,4.0,1.0,0.9465594036321608,0.3770942677686706,7400591.804197119,15354818.235294119,22359918.0,18145538.982752655,4.214379017247345,7.005099764705881,4.679368
2018,2018.0,4.0,2.0,1.1467700434290697,0.029078715773670494,8516875.157387866,28043626.70588235,37810524.0,28291286.49786387,9.51923750213613,9.766897294117648,7.124628485268839
2018,2018.0,5.0,1.0,0.7247099900774764,0.4861100189327948,6248359.632209185,38255510.35294118,42783759.0,41292900.5720533,1.4908584279467016,4.528248647058822,12.550548345777177
2018,2018.0,5.0,2.0,-1.5077529437478785,-0.27385271207424833,5126005.382997768,40362949.705882356,32634200.0,38959179.22964122,6.3249792296412215,7.728749705882356,7.8872416787009385
2018,2018.0,6.0,1.0,0.7051365368771619,0.4539889422074601,5886870.709300845,38371575.375,42522623.0,41044149.58122757,1.4784734187724293,4.151047625,5.215809551096209
2018,2018.0,6.0,2.0,0.4473555035829913,0.3509793422119022,5425478.267419443,43109819.4375,45536937.0,45014050.230983846,0.5228867690161542,2.4271175625,10.479232024134017
2018,2018.0,7.0,1.0,0.31833762327967796,0.37836206839344644,4973429.180907848,43630313.375,45213543.0,45512070.326896615,0.2985273268966153,1.583229625,8.614899122325845
2018,2018.0,7.0,2.0,0.020545579906855606,-0.10859047310496847,4402239.455398384,47575715.4375,47666162.0,47097674.17231693,0.5684878276830688,0.0904465625,7.650402631113067
2018,2018.0,8.0,1.0,-2.519495954801925,0.23438381911614287,3978554.0410951176,43714673.8125,33690723.0,44647182.50321184,10.95645950321184,10.0239508125,14.515799808670357
2018,2018.0,8.0,2.0,-0.316039026214152,0.04502439139175604,3476766.8194732494,44622249.0,43523455.0,44778788.310057834,1.2553333100578339,1.098794,3.715327850469209
