date,pub_mt,monthly_only,pred,lo,hi
2026-04-15,20.4,False,16.729420743626136,9.84347986068721,23.61536162656506
2026-04-30,40.01,False,32.16897556160344,24.244379746457472,40.0935713767494
2026-05-15,42.75,False,43.546919116478755,37.733082036809925,49.36075619614759
2026-05-31,41.55,False,42.25089167732651,37.48135824448252,47.0204251101705
2026-06-15,38.76,False,41.305409904861236,35.82792313593004,46.78289667379243
2026-06-30,31.03,False,41.495755520574946,36.44757510479624,46.543935936353634
2026-07-15,,True,43.759570736902,39.1320030732197,48.3871384005843
2026-07-31,,True,45.88427036478903,41.78817083052979,49.98036989904827
2026-08-15,,False,44.379192807472045,40.677314815630695,48.08107079931339
2026-08-31,,False,46.31437006377981,43.07938407670257,49.54935605085705
